stock,n_forecasts,mse,rmse,mae,correlation,directional_accuracy,avg_explained_variance
VZ,341,0.004094699045030198,0.06398983548213105,0.04945311423133619,0.07414185694238128,0.5249266862170088,0.5056985801087196
WMT,341,0.003869859363755989,0.062208193702726886,0.04613653350351393,0.05958724405089482,0.5777126099706745,0.5056985801087196
IBM,341,0.005909770804513733,0.07687503368788683,0.05724517752856298,0.05069284175125542,0.5249266862170088,0.5056985801087196
CAT,341,0.008774680687337808,0.09367326559556792,0.07097733076273915,0.04814806155772925,0.5454545454545454,0.5056985801087196
MRK,341,0.00550779371598779,0.07421451149194334,0.056985352392985016,0.03414930583050732,0.5395894428152492,0.5056985801087196
CVX,341,0.00473274816931563,0.06879497197699574,0.05117272585393164,0.03375033321523453,0.5659824046920822,0.5056985801087196
BA,341,0.010094196062570586,0.10046987639372602,0.0726908023618557,0.029820114578850337,0.5659824046920822,0.5056985801087196
TRV,341,0.005423006554846196,0.07364106568244512,0.05353448151489576,0.029193336185854523,0.5747800586510264,0.5056985801087196
JNJ,341,0.002801781113385076,0.05293185348526042,0.04080056455679502,0.024687639762327785,0.5278592375366569,0.5056985801087196
WBA,341,0.007343529757692287,0.0856943974696846,0.06494799934007031,0.02446709862577234,0.5249266862170088,0.5056985801087196
MMM,341,0.004286497041318319,0.06547134519252158,0.049762150383584974,0.01966149812074698,0.5630498533724341,0.5056985801087196
JPM,341,0.008604151199682856,0.09275856402339816,0.0688924496831947,0.009350862884764694,0.530791788856305,0.5056985801087196
PG,341,0.003262220306750199,0.05711584987330749,0.041401753983662484,0.009069684459725221,0.5718475073313783,0.5056985801087196
HD,341,0.006571488751408435,0.08106471952340571,0.05951569592235238,0.008116215205843913,0.5689149560117303,0.5056985801087196
HON,341,0.007474995683048177,0.08645805736337231,0.05876007198774593,0.006594981383530254,0.5278592375366569,0.5056985801087196
DIS,341,0.0068650480284327756,0.08285558537861389,0.0603525843973695,0.003287766054889406,0.5747800586510264,0.5056985801087196
MCD,341,0.0035850320667033682,0.05987513730007947,0.044444064696368614,-0.004125262937473638,0.5777126099706745,0.5056985801087196
AXP,341,0.007996160069797004,0.08942125066110965,0.06026925788539969,-0.00439136988238304,0.5542521994134897,0.5056985801087196
AMGN,341,0.007027668078893688,0.08383118798450663,0.06333570839815184,-0.016338127688101785,0.5425219941348973,0.5056985801087196
INTC,341,0.012465831963071307,0.11165049020524409,0.080758072927136,-0.0592597967031585,0.5131964809384164,0.5056985801087196
KO,341,0.0037014587151194714,0.06083961468582351,0.043959541939153315,-0.06176872151427674,0.5571847507331378,0.5056985801087196
NKE,341,0.00783672274014389,0.08852526611168074,0.06386668549783545,-0.0627483384562082,0.5425219941348973,0.5056985801087196
AAPL,341,0.015948379865068002,0.1262868950646424,0.09078309770746885,-0.09687124084533187,0.5425219941348973,0.5056985801087196
UNH,341,0.007252168453613681,0.0851596644756993,0.058854052441148226,-0.1482288887409528,0.5513196480938416,0.5056985801087196
